iter	Passed	Remaining
469	2047	2309
470	2051	2304
471	2055	2299
472	2058	2293
473	2062	2289
474	2066	2284
475	2070	2279
476	2074	2274
477	2078	2269
478	2082	2265
479	2086	2260
480	2090	2255
481	2095	2252
482	2099	2247
483	2103	2242
484	2106	2237
485	2110	2232
486	2114	2227
487	2118	2222
488	2122	2217
489	2126	2212
490	2129	2207
491	2133	2203
492	2137	2198
493	2141	2193
494	2145	2188
495	2148	2183
496	2152	2178
497	2156	2173
498	2160	2169
499	2164	2164
500	2167	2159
501	2171	2154
502	2175	2149
503	2179	2145
504	2183	2140
505	2187	2135
506	2191	2130
507	2194	2125
508	2198	2120
509	2208	2121
510	2213	2118
511	2220	2115
512	2224	2111
513	2229	2107
514	2238	2107
515	2243	2104
516	2248	2101
517	2256	2099
518	2261	2096
519	2271	2097
520	2280	2097
521	2284	2092
522	2288	2087
523	2292	2082
524	2296	2077
525	2300	2072
526	2304	2068
527	2308	2063
528	2311	2058
529	2315	2053
530	2319	2048
531	2323	2044
532	2327	2039
533	2331	2034
534	2335	2029
535	2339	2025
536	2343	2020
537	2347	2015
538	2351	2011
539	2355	2006
540	2359	2001
541	2363	1996
542	2367	1992
543	2371	1987
544	2375	1982
545	2379	1978
546	2383	1974
547	2387	1969
548	2391	1964
549	2395	1959
550	2399	1955
551	2403	1950
552	2407	1945
553	2411	1941
554	2415	1936
555	2418	1931
556	2422	1927
557	2426	1922
558	2430	1917
559	2435	1913
560	2439	1908
561	2443	1903
562	2447	1899
563	2451	1894
564	2454	1889
565	2458	1885
566	2466	1883
567	2472	1880
568	2476	1875
569	2480	1871
570	2484	1866
571	2487	1861
572	2491	1856
573	2495	1852
574	2499	1847
575	2514	1850
576	2525	1851
577	2530	1847
578	2534	1842
579	2538	1838
580	2542	1833
581	2546	1828
582	2550	1824
583	2554	1819
584	2558	1815
585	2562	1810
586	2566	1805
587	2570	1801
588	2575	1797
589	2579	1792
590	2583	1788
591	2587	1783
592	2592	1779
593	2596	1774
594	2602	1771
595	2606	1766
596	2610	1762
597	2614	1757
598	2618	1752
599	2622	1748
600	2626	1743
601	2630	1738
602	2634	1734
603	2639	1730
604	2643	1726
605	2647	1721
606	2651	1716
607	2655	1711
608	2658	1707
609	2662	1702
610	2666	1697
611	2670	1693
612	2674	1688
613	2678	1683
614	2682	1679
615	2685	1674
616	2689	1669
617	2693	1665
618	2697	1660
619	2701	1655
620	2705	1651
621	2709	1646
622	2713	1641
623	2716	1637
624	2720	1632
625	2724	1627
626	2728	1623
627	2732	1618
628	2736	1614
629	2740	1609
630	2744	1604
631	2748	1600
632	2752	1595
633	2756	1591
634	2760	1586
635	2763	1581
636	2768	1577
637	2771	1572
638	2776	1568
639	2780	1563
640	2783	1559
641	2787	1554
642	2791	1549
643	2795	1545
644	2799	1540
645	2803	1536
646	2807	1531
647	2811	1527
648	2815	1522
649	2819	1518
650	2823	1513
651	2827	1508
652	2830	1504
653	2834	1499
654	2838	1495
655	2842	1490
656	2846	1485
657	2850	1481
658	2854	1476
659	2858	1472
660	2862	1467
661	2865	1463
662	2869	1458
663	2873	1454
664	2877	1449
665	2881	1445
666	2885	1440
667	2889	1436
668	2893	1431
669	2897	1427
670	2901	1422
671	2904	1417
672	2908	1413
673	2912	1408
674	2916	1404
675	2920	1399
676	2924	1395
677	2928	1390
678	2932	1386
679	2936	1381
680	2940	1377
681	2944	1372
682	2948	1368
683	2952	1363
684	2956	1359
685	2959	1354
686	2963	1350
687	2967	1345
688	2970	1340
689	2974	1336
690	2978	1331
691	2982	1327
692	2985	1322
693	2989	1318
694	2993	1313
695	2997	1309
696	3001	1304
697	3005	1300
698	3009	1295
699	3012	1291
700	3016	1286
701	3020	1282
702	3024	1277
703	3028	1273
704	3031	1268
705	3035	1264
706	3039	1259
707	3043	1255
708	3047	1250
709	3051	1246
710	3055	1241
711	3059	1237
712	3062	1232
713	3066	1228
714	3070	1223
715	3076	1220
716	3080	1215
717	3084	1211
718	3088	1207
719	3092	1202
720	3096	1198
721	3100	1193
722	3103	1189
723	3107	1184
724	3111	1180
725	3115	1175
726	3119	1171
727	3123	1167
728	3127	1162
729	3131	1158
730	3134	1153
731	3138	1149
732	3142	1144
733	3146	1140
734	3149	1135
735	3153	1131
736	3157	1126
737	3161	1122
738	3165	1117
739	3168	1113
740	3172	1108
741	3176	1104
742	3180	1099
743	3183	1095
744	3187	1091
745	3191	1086
746	3195	1082
747	3199	1077
748	3203	1073
749	3207	1069
750	3211	1064
751	3215	1060
752	3219	1055
753	3223	1051
754	3227	1047
755	3230	1042
756	3234	1038
757	3238	1033
758	3242	1029
759	3246	1025
760	3250	1020
761	3253	1016
762	3257	1011
763	3261	1007
764	3265	1003
765	3269	998
766	3272	994
767	3277	989
768	3281	985
769	3285	981
770	3288	976
771	3292	972
772	3296	968
773	3300	963
774	3304	959
775	3308	955
776	3312	950
777	3316	946
778	3320	941
779	3324	937
780	3327	933
781	3331	928
782	3335	924
783	3339	920
784	3343	915
785	3347	911
786	3351	907
787	3356	902
788	3360	898
789	3365	894
790	3369	890
791	3373	885
792	3377	881
793	3380	877
794	3384	872
795	3388	868
796	3392	864
797	3396	859
798	3400	855
799	3403	850
800	3408	846
801	3412	842
802	3416	838
803	3420	833
804	3424	829
805	3428	825
806	3432	820
807	3435	816
808	3439	812
809	3443	807
810	3447	803
811	3451	799
812	3454	794
813	3458	790
814	3462	786
815	3466	781
816	3470	777
817	3474	773
818	3478	768
819	3482	764
820	3486	760
821	3490	755
822	3494	751
823	3498	747
824	3502	743
825	3506	738
826	3510	734
827	3514	730
828	3518	725
829	3522	721
830	3526	717
831	3531	712
832	3534	708
833	3538	704
834	3542	700
835	3546	695
836	3550	691
837	3554	687
838	3558	682
839	3562	678
840	3566	674
841	3570	669
842	3573	665
843	3577	661
844	3581	656
845	3585	652
846	3589	648
847	3593	644
848	3597	639
849	3601	635
850	3604	631
851	3608	626
852	3612	622
853	3617	618
854	3621	614
855	3625	609
856	3629	605
857	3633	601
858	3637	597
859	3641	592
860	3645	588
861	3649	584
862	3653	579
863	3657	575
864	3660	571
865	3664	567
866	3668	562
867	3672	558
868	3676	554
869	3680	549
870	3684	545
871	3688	541
872	3691	537
873	3695	532
874	3699	528
875	3703	524
876	3707	520
877	3711	515
878	3715	511
879	3719	507
880	3723	502
881	3727	498
882	3730	494
883	3734	490
884	3738	485
885	3742	481
886	3746	477
887	3750	473
888	3754	468
889	3758	464
890	3762	460
891	3766	456
892	3770	451
893	3774	447
894	3777	443
895	3781	438
896	3785	434
897	3789	430
898	3793	426
899	3797	421
900	3801	417
901	3805	413
902	3809	409
903	3813	404
904	3817	400
905	3821	396
906	3825	392
907	3829	387
908	3832	383
909	3836	379
910	3840	375
911	3844	370
912	3848	366
913	3852	362
914	3856	358
915	3860	353
916	3864	349
917	3867	345
918	3871	341
919	3875	336
920	3879	332
921	3882	328
922	3886	324
923	3890	320
924	3894	315
925	3898	311
926	3902	307
927	3906	303
928	3910	298
929	3914	294
930	3918	290
931	3922	286
932	3925	281
933	3929	277
934	3933	273
935	3937	269
936	3940	264
937	3944	260
938	3948	256
939	3952	252
940	3956	248
941	3960	243
942	3963	239
943	3967	235
944	3971	231
945	3975	226
946	3979	222
947	3983	218
948	3987	214
949	3991	210
950	3995	205
951	3999	201
952	4002	197
953	4006	193
954	4010	188
955	4014	184
956	4018	180
957	4022	176
958	4025	172
959	4029	167
960	4033	163
961	4037	159
962	4041	155
963	4045	151
964	4049	146
965	4053	142
966	4058	138
967	4062	134
968	4066	130
969	4070	125
970	4074	121
971	4078	117
972	4082	113
973	4086	109
974	4090	104
975	4093	100
976	4097	96
977	4101	92
978	4105	88
979	4109	83
980	4113	79
981	4117	75
982	4121	71
983	4125	67
984	4129	62
985	4133	58
986	4136	54
987	4140	50
988	4144	46
989	4148	41
990	4152	37
991	4155	33
992	4159	29
993	4163	25
994	4167	20
995	4171	16
996	4175	12
997	4179	8
998	4183	4
999	4187	0
