iter	RMSE
255	81.39163823
256	81.29338024
257	81.24048534
258	81.19028264
259	81.12976284
260	81.04368144
261	81.00934162
262	80.95967013
263	80.87870614
264	80.83512947
265	80.78942336
266	80.74421228
267	80.68652249
268	80.63874538
269	80.60496833
270	80.52101244
271	80.45766619
272	80.41325765
273	80.37493164
274	80.31407903
275	80.26771325
276	80.22408229
277	80.15961523
278	80.08943542
279	79.9449421
280	79.88560142
281	79.84716028
282	79.79728863
283	79.75601099
284	79.6865439
285	79.6638748
286	79.61490767
287	79.58529369
288	79.53747326
289	79.50220519
290	79.36372811
291	79.29313889
292	79.23777556
293	79.1913102
294	79.15051836
295	79.12119678
296	79.07646586
297	79.02224495
298	78.99202206
299	78.91105331
300	78.87589595
301	78.83866141
302	78.81096561
303	78.77263759
304	78.70944274
305	78.67607848
306	78.6040643
307	78.55252383
308	78.51734586
309	78.39402058
310	78.35006852
311	78.29846162
312	78.24073248
313	78.20002479
314	78.17952856
315	78.15240749
316	78.08734561
317	78.0561459
318	78.01563607
319	77.98073882
320	77.94066672
321	77.90703447
322	77.82468616
323	77.787926
324	77.76021289
325	77.72259315
326	77.68962467
327	77.61849879
328	77.58476099
329	77.56185714
330	77.53720415
331	77.5147955
332	77.47486775
333	77.44751921
334	77.4192381
335	77.34271044
336	77.2932579
337	77.24361222
338	77.16770201
339	77.13509046
340	77.09122383
341	77.04325028
342	77.00917993
343	76.96977838
344	76.92918061
345	76.89655025
346	76.85370312
347	76.82374425
348	76.78314387
349	76.73516919
350	76.70816021
351	76.66644072
352	76.64339586
353	76.57453946
354	76.53589972
355	76.50669177
356	76.47290362
357	76.40092921
358	76.37506037
359	76.34533509
360	76.32153578
361	76.29222744
362	76.27120643
363	76.21357912
364	76.10760094
365	76.06882721
366	76.03423783
367	76.00761634
368	75.96986082
369	75.95086153
370	75.91793956
371	75.88702836
372	75.85179879
373	75.83305122
374	75.80178201
375	75.77414186
376	75.72675739
377	75.70188883
378	75.65509925
379	75.6330236
380	75.5945254
381	75.55647549
382	75.49407844
383	75.42862963
384	75.39426661
385	75.36514351
386	75.34700015
387	75.30475149
388	75.26173522
389	75.22472073
390	75.20165114
391	75.17702972
392	75.12668949
393	75.09693128
394	75.06276105
395	75.03357114
396	74.99495186
397	74.96333685
398	74.94267614
399	74.89672294
400	74.87243041
401	74.85122275
402	74.80900354
403	74.77112686
404	74.73751473
405	74.70598651
406	74.68476847
407	74.66164894
408	74.6357763
409	74.58343922
410	74.55251266
411	74.52565764
412	74.42441272
413	74.40265551
414	74.36240679
415	74.30750785
416	74.27245746
417	74.24099952
418	74.20192651
419	74.16746182
420	74.13651928
421	74.11727298
422	74.07601731
423	74.05680392
424	74.0378761
425	74.00539374
426	73.97342991
427	73.95247428
428	73.92903197
429	73.8785874
430	73.86350211
431	73.83542494
432	73.79562216
433	73.77623358
434	73.73518283
435	73.68176722
436	73.64505114
437	73.64001982
438	73.61068358
439	73.57731923
440	73.54028187
441	73.51209554
442	73.46777713
443	73.43735578
444	73.40983681
445	73.39004907
446	73.37323706
447	73.35294165
448	73.32111084
449	73.29359543
450	73.24329801
451	73.21121896
452	73.19152779
453	73.17414047
454	73.1401346
455	73.05942135
456	73.01529341
457	72.97903172
458	72.95354729
459	72.92106552
460	72.89794798
461	72.87535903
462	72.83629302
463	72.81667333
464	72.79186376
465	72.74699899
466	72.72648438
467	72.69799885
468	72.66904044
469	72.6626994
470	72.64456188
471	72.62145207
472	72.60439028
473	72.5641462
474	72.5381501
475	72.51877857
476	72.49703621
477	72.46456077
478	72.44854706
479	72.41775483
480	72.39568972
481	72.37339701
482	72.35120643
483	72.3284003
484	72.31910104
485	72.29913298
486	72.28538196
487	72.26243059
488	72.22450565
489	72.19450878
490	72.17023355
491	72.12330895
492	72.09064082
493	72.06947423
494	72.04910867
495	72.00941637
496	71.99141225
497	71.97292968
498	71.95033321
499	71.9196262
500	71.89788136
501	71.86972176
502	71.82843513
503	71.80879509
504	71.74597202
505	71.72894154
506	71.70395161
507	71.68297577
508	71.66451017
509	71.64638854
510	71.62838197
511	71.62118977
512	71.60940082
513	71.57489526
514	71.5594262
515	71.53910515
516	71.51514327
517	71.50243722
518	71.4698341
519	71.44111852
520	71.41782104
521	71.37933032
522	71.35365566
523	71.32484162
524	71.29917388
525	71.28098452
526	71.26844236
527	71.25866784
528	71.23244293
529	71.17772877
530	71.12184553
531	71.11680738
532	71.09514248
533	71.06243701
534	71.01853585
535	70.96764868
536	70.94969843
537	70.9315251
538	70.90136271
539	70.88219868
540	70.85920529
541	70.82811537
542	70.8097398
543	70.77745256
544	70.76066809
545	70.74238859
546	70.71716757
547	70.70207513
548	70.67853664
549	70.65751818
550	70.62871635
551	70.60200962
552	70.58020215
553	70.51754028
554	70.49860618
555	70.47783532
556	70.45235702
557	70.38945586
558	70.35638747
559	70.33547313
560	70.31941048
561	70.30249913
562	70.27506937
563	70.25790128
564	70.23900239
565	70.20900169
566	70.17991826
567	70.13169178
568	70.11067537
569	70.08984901
570	70.06600239
571	70.05010912
572	70.03960838
573	70.01541515
574	69.99637776
575	69.97699276
576	69.96948843
577	69.9333325
578	69.90632652
579	69.88914968
580	69.86239431
581	69.83677336
582	69.80756964
583	69.78692867
584	69.76613321
585	69.74940974
586	69.7229117
587	69.70551952
588	69.68977348
589	69.66091349
590	69.63634071
591	69.62229886
592	69.60536346
593	69.57691174
594	69.54175552
595	69.52452231
596	69.50914714
597	69.4792955
598	69.45413238
599	69.42988013
600	69.40982062
601	69.39292891
602	69.37660446
603	69.34063609
604	69.29573984
605	69.28073633
606	69.25498977
607	69.24465592
608	69.23493578
609	69.205313
610	69.19118439
611	69.18189773
612	69.1725448
613	69.15756387
614	69.1258911
615	69.11122845
616	69.08797662
617	69.07498492
618	69.06685839
619	69.04421295
620	69.02569653
621	69.01197729
622	68.99015129
623	68.97587757
624	68.96844458
625	68.94852367
626	68.93457097
627	68.91373567
628	68.90351401
629	68.89319311
630	68.87486669
631	68.85424628
632	68.83597347
633	68.81546399
634	68.80534166
635	68.79091358
636	68.76958491
637	68.71231617
638	68.68581669
639	68.66792712
640	68.64126352
641	68.61924869
642	68.59174174
643	68.57589603
644	68.56440237
645	68.53185551
646	68.52142781
647	68.49116709
648	68.47310244
649	68.43578891
650	68.40327778
651	68.38815115
652	68.371732
653	68.36510221
654	68.34493353
655	68.32994531
656	68.31169485
657	68.30546555
658	68.28669705
659	68.26244416
660	68.25294209
661	68.23583215
662	68.21542091
663	68.18876736
664	68.17135574
665	68.15366492
666	68.13411864
667	68.1198405
668	68.09891336
669	68.07787403
670	68.05194278
671	68.03806543
672	68.02628006
673	68.00322747
674	67.98588727
675	67.93525535
676	67.90935231
677	67.90269602
678	67.89481437
679	67.88356279
680	67.87310066
681	67.86093841
682	67.83053252
683	67.81332319
684	67.78689766
685	67.7666363
686	67.75311817
687	67.72662171
688	67.70354182
689	67.68909638
690	67.65178026
691	67.63437573
692	67.60699336
693	67.58256796
694	67.56693417
695	67.54963864
696	67.5351814
697	67.52535137
698	67.50353028
699	67.49633412
700	67.47471204
701	67.45167008
702	67.43877608
703	67.43012999
704	67.41424391
705	67.39445821
706	67.36885135
707	67.35994776
708	67.34268692
709	67.31530779
710	67.27842388
711	67.26101028
712	67.2406729
713	67.22576298
714	67.21008112
715	67.18494818
716	67.15726714
717	67.13087535
718	67.12777233
719	67.10653483
720	67.0887332
721	67.07488606
722	67.06436479
723	67.02973768
724	67.01252114
725	66.98150264
726	66.97414598
727	66.94500883
728	66.91068467
729	66.89612094
730	66.88399852
731	66.86802716
732	66.8555756
733	66.83675246
734	66.82093867
735	66.78784624
736	66.775183
737	66.7539616
738	66.73934457
739	66.73236918
740	66.71192241
741	66.68441056
742	66.67063495
743	66.64503407
744	66.62200022
745	66.58955552
746	66.57831223
747	66.5527748
748	66.51977538
749	66.49451144
750	66.48825372
751	66.47586029
752	66.45978855
753	66.43863545
754	66.3990471
755	66.36903759
756	66.35626639
757	66.32673104
758	66.31326322
759	66.30327892
760	66.28570273
761	66.26147411
762	66.2476074
763	66.21604956
764	66.19428284
765	66.18498235
766	66.17704141
767	66.13784239
768	66.11438996
769	66.09871211
770	66.08702206
771	66.06840002
772	66.05241447
773	66.03972865
774	66.00798032
775	65.98366382
776	65.95901355
777	65.93808516
778	65.91770519
779	65.89979686
780	65.87937402
781	65.85148911
782	65.83885187
783	65.82059598
784	65.81211802
785	65.79349809
786	65.77475504
787	65.74347895
788	65.72285612
789	65.7107289
790	65.67726017
791	65.65916989
792	65.64325827
793	65.60292031
794	65.56475746
795	65.55093299
796	65.52800713
797	65.5175119
798	65.51248749
799	65.4961602
800	65.48086291
801	65.44808795
802	65.42401514
803	65.39439026
804	65.38178209
805	65.36034344
806	65.34457264
807	65.33783996
808	65.33229823
809	65.32647993
810	65.3108627
811	65.29273226
812	65.27442105
813	65.25841785
814	65.24507147
815	65.23247243
816	65.20111787
817	65.19598961
818	65.18205576
819	65.17276287
820	65.16457775
821	65.14992671
822	65.1382
823	65.11805469
824	65.08864414
825	65.07043575
826	65.06462952
827	65.04598765
828	65.02463671
829	65.00006234
830	64.98797826
831	64.98434365
832	64.97223104
833	64.96031343
834	64.9357078
835	64.92275017
836	64.90856886
837	64.8912333
838	64.87625565
839	64.86707539
840	64.84469527
841	64.82329851
842	64.81164939
843	64.79335279
844	64.78209065
845	64.77489838
846	64.76629481
847	64.74214258
848	64.73259052
849	64.72596903
850	64.7168832
851	64.70796919
852	64.69037636
853	64.67364885
854	64.66532203
855	64.65631486
856	64.62927433
857	64.59765799
858	64.58372941
859	64.56907484
860	64.55334625
861	64.54147519
862	64.52388114
863	64.51946407
864	64.50809894
865	64.50326462
866	64.47709443
867	64.45802374
868	64.44219752
869	64.42877891
870	64.41788798
871	64.389542
872	64.37370863
873	64.35077364
874	64.34061875
875	64.31610227
876	64.29436533
877	64.27230252
878	64.26097971
879	64.24874261
880	64.22339133
881	64.20937797
882	64.19539392
883	64.14936216
884	64.12687013
885	64.11869076
886	64.0991026
887	64.08984215
888	64.07135788
889	64.04559834
890	64.03299621
891	64.02282577
892	64.01310475
893	64.00920473
894	64.00400266
895	63.99659421
896	63.98132963
897	63.97712855
898	63.95347734
899	63.92974621
900	63.9013547
901	63.89048555
902	63.87368997
903	63.85805593
904	63.83235252
905	63.82644185
906	63.80674475
907	63.78024964
908	63.75970509
909	63.73337851
910	63.71396874
911	63.70495867
912	63.67937306
913	63.65531054
914	63.65185439
915	63.64368628
916	63.61332677
917	63.60298179
918	63.58812236
919	63.58099374
920	63.55544212
921	63.53690538
922	63.52274997
923	63.49161044
924	63.48097047
925	63.45756314
926	63.4473695
927	63.42329752
928	63.40566312
929	63.39690183
930	63.38305213
931	63.36379819
932	63.35610433
933	63.32783045
934	63.31367989
935	63.31086527
936	63.29103301
937	63.28426428
938	63.25930557
939	63.2481919
940	63.23003735
941	63.21765757
942	63.20534801
943	63.19331071
944	63.17179077
945	63.15113429
946	63.12786456
947	63.09816778
948	63.07963885
949	63.06193791
950	63.04449705
951	63.03845116
952	63.02379879
953	63.0100603
954	62.98293945
955	62.95974115
956	62.94666148
957	62.9416326
958	62.92746311
959	62.90394186
960	62.89258517
961	62.87865763
962	62.86372222
963	62.85615497
964	62.83819216
965	62.8285746
966	62.81045817
967	62.79201114
968	62.76701683
969	62.75373861
970	62.74668863
971	62.73759783
972	62.71429653
973	62.69756375
974	62.68845366
975	62.67450293
976	62.6570145
977	62.64966032
978	62.63865331
979	62.62120364
980	62.6065195
981	62.58336468
982	62.57698646
983	62.56114071
984	62.54409151
985	62.51960423
986	62.51467616
987	62.49650747
988	62.46797828
989	62.45298401
990	62.43189502
991	62.41101398
992	62.39909432
993	62.38048991
994	62.36643837
995	62.36206632
996	62.350154
997	62.33852139
998	62.31650259
999	62.30533724
